"annual_kwh";"sq_meters";"epc_label";"building_era";"income_euro";"occupancy_count";"dist_to_brussels";"roof_color";"pet_ownership"
"1";9505.75;143.21;"C";"1970-2000";56064.89;7;15.72;"Black";"1"
"2";5172.61;142.98;"A";"Post-2000";27286.28;6;23.22;"Black";"1"
"3";6167.9;176.29;"E";"Pre-1970";47223.98;2;28.45;"Other";"1"
"4";2595.95;169.06;"A";"Post-2000";42696.11;1;104.15;"Black";"0"
"5";3290.18;122.74;"B";"1970-2000";32860.03;1;54.36;"Other";"0"
"6";3486.5;95.81;"D";"1970-2000";14296.36;3;35.33;"Black";"0"
"7";6232.26;110.54;"F";"Pre-1970";31862.46;5;46.42;"Red";"0"
"8";9135.18;141.57;"E";"Pre-1970";28027.6;5;6.74;"Other";"1"
"9";3279.58;163.12;"A";"Post-2000";46681.33;1;98.08;"Other";"0"
"10";7678.89;138.33;"C";"Pre-1970";35839.08;7;23.27;"Red";"0"
"11";4352.35;112.36;"D";"1970-2000";36912.42;4;41.03;"Black";"1"
"12";2955140;100.34;"A";"Post-2000";31930.12;3;114.33;"Other";"1"
"13";8648.47;177.03;"E";"Pre-1970";40149.03;5;44.97;"Red";"1"
"14";5442.6;147.15;"D";"Pre-1970";40069.97;3;40;"Red";"0"
"15";6361.48;119.79;"A";"Post-2000";14099.62;7;51.85;"Black";"0"
"16";4056.18;219.73;"A";"Post-2000";81320.28;1;73.61;"Black";"0"
"17";3168.76;182.01;"A";"Post-2000";58535.21;1;70.56;"Red";"1"
"18";3932.35;135.24;"C";"1970-2000";48918.16;2;21.86;"Other";"0"
"19";6683.27;107.43;"D";"1970-2000";30880.39;6;63.5;"Black";"0"
"20";6709.68;132.54;"E";"Pre-1970";60499.24;5;106.97;"Red";"0"
"21";4548.7;119.59;"C";"1970-2000";38257.6;3;6.2;"Black";"1"
"22";5987.25;152.45;"C";"1970-2000";41187.63;3;21.93;"Red";"0"
"23";4502.79;136.37;"A";"Post-2000";23708.45;5;45.9;"Red";"0"
"24";4662.28;177.7;"B";"Post-2000";85786.86;3;25.77;"Other";"1"
"25";4450.08;191.75;"E";"Pre-1970";45328.58;2;97.72;"Red";"1"
"26";7889.06;235.2;"C";"1970-2000";104677.32;5;31.36;"Other";"0"
"27";11420.78;274.37;"A";"Post-2000";96657.11;7;112.34;"Other";"0"
"28";6610.88;174.21;"C";"1970-2000";45531.77;4;82.02;"Other";"0"
"29";3199.03;168.49;"B";"1970-2000";59301.96;1;19.2;"Black";"1"
"30";7377.67;240;"D";"1970-2000";96426.18;4;31.8;"Other";"0"
"31";4618.6;151.12;"D";"1970-2000";34960.18;2;54.9;"Black";"0"
"32";4300.9;169.74;"D";"Pre-1970";47804.56;1;44.19;"Black";"1"
"33";9576.06;180.27;"B";"Post-2000";39552.11;7;16.36;"Red";"0"
"34";6556.61;200.58;"F";"Pre-1970";51521.38;2;60.9;"Red";"0"
"35";3086.13;159.49;"C";"Pre-1970";48150.88;1;35;"Black";"0"
"36";6378.16;191.76;"A";"Post-2000";74911.84;4;56.42;"Black";"0"
"37";11765.87;181.4;"E";"Pre-1970";57934.7;7;119.71;"Red";"0"
"38";3961.97;120.69;"F";"Pre-1970";29693.97;1;34.01;"Red";"0"
"39";4537.88;206.96;"C";"1970-2000";57512.87;2;94.29;"Black";"0"
"40";3786.99;158.89;"D";"1970-2000";30601.14;2;40.03;"Red";"0"
"41";5478.22;105.84;"C";"1970-2000";26350.32;5;116.6;"Black";"0"
"42";4491.58;168.97;"C";"1970-2000";62950.21;2;22.64;"Red";"0"
"43";7449.15;133.91;"C";"Pre-1970";25799.24;7;64.88;"Red";"1"
"44";6335.43;189.48;"A";"Post-2000";50920.52;5;16.59;"Red";"0"
"45";5233.24;161.2;"E";"Pre-1970";30480.84;2;89.44;"Black";"0"
"46";7280.38;234.23;"A";"Post-2000";83965.69;5;46.94;"Other";"0"
"47";13306.64;211.97;"C";"Pre-1970";61102.24;7;93.16;"Other";"1"
"48";6694.84;152.61;"E";"Pre-1970";37007.51;5;93.2;"Other";"0"
"49";6139.04;176.95;"C";"Pre-1970";63558.31;4;11.21;"Other";"0"
"50";7496.55;161.17;"F";"Pre-1970";53740.27;4;50.69;"Red";"0"
"51";2601.61;126.5;"B";"Post-2000";26200.81;1;31.51;"Red";"1"
"52";4837.52;186.25;"D";"1970-2000";40425.25;2;15.59;"Other";"1"
"53";10854.61;189.96;"E";"Pre-1970";29179.61;7;47.75;"Other";"1"
"54";8726.66;197.1;"B";"1970-2000";54297.25;6;115.74;"Other";"1"
"55";5849.9;158.67;"B";"Post-2000";33184.46;4;78.58;"Other";"1"
"56";5620.5;201.75;"F";"Pre-1970";39969.01;2;36.29;"Red";"1"
"57";3689.15;127.18;"A";"Post-2000";25428.72;3;62.46;"Black";"0"
"58";8103.21;98.14;"F";"Pre-1970";28783.86;7;15.86;"Black";"1"
"59";5355.98;102.37;"D";"1970-2000";47111.87;5;37.55;"Black";"1"
"60";4322.5;124.19;"A";"Post-2000";28294.6;6;93.38;"Black";"1"
"61";3007.3;138.64;"B";"Post-2000";41620.09;1;101.3;"Other";"0"
"62";4316.21;148.76;"B";"Post-2000";47824.74;4;65.06;"Red";"0"
"63";3626.25;139.83;"D";"Pre-1970";40560.3;1;12.87;"Red";"0"
"64";2645.17;137.88;"A";"Post-2000";38908.06;1;18.65;"Other";"1"
"65";3636.13;94.62;"E";"Pre-1970";20323.26;5;70.66;"Other";"1"
"66";6545.99;176.46;"A";"Post-2000";39232.95;5;94.06;"Other";"0"
"67";4910.85;109.4;"B";"1970-2000";19732.69;5;107.47;"Red";"0"
"68";5813.54;182.89;"C";"1970-2000";74513.34;3;54.52;"Red";"1"
